# time,fragdummy,T_RO_O4,NO2,T_O0_NO3,T_O2_NO3,T_O1_NO3,T_O3_NO3,Tuni_O1_O,Tuni_O3_O,Tuni_O2_O,Tuni_O4_O,T_O0_OOH,T_O2_OOH,T_O1_OOH,T_O3_OOH,T_O1_2OH,T_O0_2OH,T_O2_2OH,T_O0_O,T_O2_O,T_O1_O,T_O3_O,TO1_TO1,TO1_TO3,TO1_TO2,TO1_TO4,TO3_TO3,TO3_TO2,TO3_TO4,TO2_TO2,TO2_TO4,TO4_TO4,T_RO_O3,T_RO_O2,O3,TOY,T_RO_O1,OH,NO,T_RO2_O2,T_RO2_O4,T_RO2_O3,T_RO2_O5,HO2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.899999563776000000e+12,9.799999815680000000e+11,0.000000000000000000e+00,1.300000000000000000e+05,1.010000000000000000e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+07
2.777777777777777775e-04,3.647965757116526831e+06,9.500965248520879314e+00,3.520527210771323740e+07,9.874737746856026351e+06,2.917255075405293144e+06,8.391231149605805054e+06,2.286956850386790000e+06,2.452371922647292137e+09,7.293140773229879141e+08,2.088634520205677986e+09,5.727825193962043524e+08,3.027159164233969990e+06,8.794103396159295226e+05,2.557737583450905979e+06,6.862012387443637708e+05,1.745986554711803910e+05,4.633142006972705130e+05,1.412953120671799115e+05,6.884145589790170779e+05,2.327982015133014938e+05,6.177522522543177474e+05,1.883937447440972901e+05,7.091406432949219598e+05,2.314769157085895131e+05,6.287650740764295915e+05,1.856734437043186917e+05,8.263362234389084915e+04,2.113252933210981137e+05,6.777642540275325882e+04,5.639170993144472595e+05,1.706579991747188033e+05,5.589454772036796930e+04,1.084384200589446934e+01,2.241921046017139929e+01,8.891351862305998047e+12,9.635929530133822021e+11,2.330473918923075871e+01,8.892988863302143812e+08,9.513245470700323582e+08,3.711238347558158875e+09,1.726864075427006006e+09,3.570219817793827057e+09,1.513013464239142895e+09,3.405499071595265716e+07
5.555555555555555551e-04,1.777715557782873139e+07,1.727318961058919911e+01,1.057354822176396996e+08,2.453119117503735051e+07,1.217401656024545059e+07,2.284579459802018106e+07,1.093931739447741956e+07,6.456934432752347946e+09,3.271743876717390060e+09,6.039460071739543915e+09,2.951444995705795765e+09,6.582634090173427947e+06,3.095678897409012076e+06,6.061038360043814406e+06,2.752812268726015929e+06,1.156935757791686105e+06,1.972863730196540942e+06,1.062328309261914110e+06,2.726755788438089192e+06,1.542580972078501945e+06,2.630484908266589977e+06,1.416437710504942108e+06,2.314223433682238217e+06,1.254534155264181085e+06,2.212771889060941990e+06,1.143503346454256913e+06,7.466999676348400535e+05,1.222260625383357983e+06,6.915091817073574057e+05,2.127274354970098007e+06,1.117357467463985085e+06,6.420731437127243262e+05,1.789285853641743884e+01,2.324417727339294970e+01,8.882863985581578125e+12,9.466151379284530029e+11,2.329127466066960039e+01,8.884974342242728472e+08,8.337741980545797348e+08,4.139056233217006207e+09,3.179712696530626774e+09,4.130686411242148876e+09,3.069592398711698055e+09,2.145315145233865082e+07
8.333333333333333868e-04,3.593521953449699283e+07,1.830973810092197951e+01,1.782141754126544893e+08,3.765424870864695311e+07,2.331952908922921121e+07,3.597665611856182665e+07,2.185901340800053999e+07,1.060237144046261978e+10,6.800286378057922363e+09,1.018755985301589012e+10,6.409567171230427742e+09,8.802236817186735570e+06,4.970389650723491795e+06,8.281693606718275696e+06,4.588109461258686148e+06,2.763339836907628924e+06,3.859195046122264117e+06,2.636926956681457814e+06,5.240185535683652386e+06,3.684453024372458924e+06,5.145593267037497833e+06,3.515902521590228193e+06,4.032691676631319802e+06,2.717217429002122954e+06,3.932342942306560930e+06,2.576987783826340921e+06,1.994671858743152115e+06,2.685959999142298941e+06,1.914979700142496033e+06,3.847950984157335013e+06,2.551848321715856902e+06,1.841579550002651988e+06,1.850309365225497871e+01,2.027898997383499946e+01,8.874533478311804688e+12,9.299523422795666504e+11,2.023986396944312105e+01,8.876219100243513584e+08,7.129763772629066706e+08,4.130964440629742146e+09,3.776489298580434799e+09,4.138950077986279011e+09,3.737025398063984871e+09,1.239730039314910024e+07
1.111111111111110893e-03,5.354295552354106307e+07,1.671164112798154022e+01,2.427562013261337876e+08,4.870722537789185345e+07,3.379920949843539298e+07,4.705300589701010287e+07,3.227802275814167038e+07,1.470212909703697014e+10,1.069068866220862961e+10,1.429599509379453087e+10,1.027785894121570969e+10,1.005384133843722008e+07,6.154581299238592386e+06,9.535938410020295531e+06,5.765132575552402064e+06,4.622322485623735003e+06,5.822175333651014604e+06,4.485366582832604647e+06,7.851963760511023924e+06,6.163096494436156936e+06,7.762900252074309625e+06,5.980488628583097830e+06,5.713529004669380374e+06,4.312090357402062975e+06,5.616737633498217911e+06,4.162779968651234172e+06,3.508469629162366036e+06,4.284209644342092797e+06,3.420220076063123997e+06,5.535910572256742977e+06,4.140998159198247828e+06,3.338318637625977863e+06,1.675152197728003145e+01,1.722271840912148022e+01,8.866357147162037109e+12,9.135982886040214844e+11,1.718618043927590833e+01,8.867713189448627234e+08,6.054063351423869133e+08,4.065959817069778919e+09,3.963124002792588234e+09,4.074604030451377869e+09,3.953688497955117226e+09,6.989451384807855822e+06
1.388888888888888942e-03,6.918953125498270988e+07,1.456697049290204937e+01,2.977665723098049164e+08,5.792792038916622847e+07,4.290967030133461207e+07,5.629220711341682822e+07,4.138124547254390270e+07,1.873236606703266144e+10,1.467399833222229004e+10,1.833430623053437042e+10,1.425814661263674927e+10,1.074615097641403042e+07,6.838082625880832784e+06,1.022964367572459951e+07,6.448030354011127725e+06,6.539640097233512439e+06,7.765979642262597568e+06,6.401228224798224866e+06,1.043852067313648015e+07,8.719519913093065843e+06,1.035463926585654914e+07,8.534970754429340363e+06,7.337852861083424650e+06,5.917445993278604001e+06,7.244316298979477957e+06,5.766911436739215627e+06,5.095149837851250544e+06,5.892781260417189449e+06,5.005698473003339954e+06,7.166750578406716697e+06,5.748343061912031844e+06,4.922597056984009221e+06,1.456160002549376919e+01,1.461179373188527997e+01,8.858331873602779297e+12,8.975466129233214111e+11,1.458458340362889949e+01,8.859485805553021431e+08,5.137223844137331843e+08,3.994326277404447079e+09,3.988031567252570152e+09,4.001778455058631897e+09,3.989502369760290146e+09,3.931213584613522980e+06
1.666666666666666990e-03,8.271728811278159916e+07,1.252836038391783013e+01,3.440212956473345160e+08,6.561814532135362178e+07,5.062767144197410345e+07,6.399574885522750020e+07,4.910595911709386110e+07,2.269083407569641113e+10,1.864723882636186981e+10,2.229961455241672134e+10,1.823488571555475998e+10,1.112945304550432973e+07,7.222655658666191623e+06,1.061361290452002920e+07,6.832927552102602087e+06,8.435889451422655955e+06,9.658458976220885292e+06,8.299145932280362584e+06,1.295747297154900059e+07,1.124785232255345024e+07,1.287794498180063069e+07,1.106552763489180058e+07,8.904842424880754203e+06,7.490262395558883436e+06,8.814014288724631071e+06,7.341110875525915064e+06,6.673825180606720038e+06,7.468315846847686917e+06,6.585762952879382297e+06,8.739161684895670041e+06,7.325263046710959636e+06,6.504051982736084610e+06,1.251314317040418977e+01,1.243773433899482939e+01,8.850454612350755859e+12,8.817911203085423584e+11,1.241792262447009065e+01,8.851492188971033096e+08,4.366311796170160770e+08,3.922741198770173073e+09,3.952820635651288986e+09,3.928999591010510921e+09,3.957627638459750175e+09,2.223722990031891037e+06
1.944444444444443955e-03,9.433607771382872760e+07,1.076015220183455945e+01,3.827928776520177126e+08,7.204424669024586678e+07,5.711636520580603182e+07,7.043136475364948809e+07,5.560326878046818078e+07,2.657817603091065979e+10,2.257263006054299164e+10,2.619270036398559952e+10,2.216549702847351837e+10,1.134316816919321008e+07,7.438427307521741837e+06,1.082764604343551956e+07,7.048984635199806653e+06,1.028225117803077959e+07,1.148963314975387976e+07,1.014796268445412070e+07,1.539543557075355016e+07,1.370966789689108916e+07,1.531951048587434925e+07,1.353061657656900026e+07,1.041602667831273936e+07,9.016229922973634675e+06,1.032743195790400915e+07,8.869107326772203669e+06,8.214722234571253881e+06,8.996538535558160394e+06,8.128708851080156863e+06,1.025481607718227990e+07,8.855517653361149132e+06,8.049049452521696687e+06,1.074530427974270985e+01,1.063884130813771023e+01,8.842722388999955078e+12,8.663257982690819092e+11,1.062432760359464012e+01,8.843693895976792574e+08,3.720118769178122282e+08,3.852121739482954025e+09,3.895984788026466846e+09,3.857384056553378105e+09,3.901368263951590061e+09,1.268637436570677906e+06
2.222222222222221787e-03,1.043247444678978026e+08,9.267182553346561491e+00,4.153126839066076875e+08,7.742762115920622647e+07,6.256580012580659240e+07,7.582158048643103242e+07,6.106011395669352263e+07,3.039545280912924957e+10,2.643682698379930115e+10,3.001481877682025909e+10,2.603494498754323959e+10,1.146340420558981970e+07,7.560132762712026946e+06,1.094803560429131985e+07,7.170855860513297841e+06,1.206967815089274012e+07,1.325759984813698940e+07,1.193781873011462018e+07,1.774973784526382014e+07,1.609290380151873082e+07,1.767679935850793123e+07,1.591709124484759010e+07,1.187322707334169000e+07,1.049133809574962966e+07,1.178648100700852089e+07,1.034622017524332926e+07,9.707958552730953321e+06,1.047351804512158968e+07,9.623974467776225880e+06,1.171571612995713018e+07,1.033450438341593929e+07,9.546347126212663949e+06,9.255000665253167114e+00,9.147009369163162873e+00,8.835132297790630859e+12,8.511447992739318848e+11,9.136265613225470261e+00,8.836066133495610952e+08,3.178122003652545214e+08,3.782621660514952183e+09,3.831780580024539948e+09,3.787069823037061214e+09,3.836824148672422886e+09,7.306349035035592970e+05
2.500000000000000052e-03,1.129438666017878950e+08,8.015904093598368974e+00,4.426432809463890195e+08,8.194970174372413754e+07,6.714856393819241226e+07,8.034862104518118501e+07,6.564862657505203784e+07,3.414380901732823944e+10,3.023552033253562164e+10,3.376727877330733109e+10,2.983839709201427078e+10,1.153169950366511941e+07,7.629342889639987610e+06,1.101640614761975035e+07,7.240153096003001556e+06,1.379616713421398029e+07,1.496307784998279996e+07,1.366647082110215910e+07,2.002122115747074038e+07,1.839488905544330925e+07,1.995076997116100043e+07,1.822196064225558937e+07,1.327828335639045015e+07,1.191526142432021908e+07,1.319307591310114972e+07,1.177192759001722932e+07,1.115100234154422954e+07,1.189900064326711930e+07,1.106882628748244978e+07,1.312385134685933962e+07,1.176177302390546910e+07,1.099300924427589960e+07,8.006419216752249213e+00,7.905608746612583282e+00,8.827681499564316406e+12,8.362424249921821289e+11,7.897569020369045845e+00,8.828593590299403667e+08,2.722612057514606714e+08,3.714284951082330227e+09,3.765477958076933861e+09,3.718066096644464016e+09,3.769938762488156796e+09,4.248868979920223937e+05
2.777777777777777884e-03,1.204164197354585975e+08,6.968011645960754841e+00,4.656696497484639287e+08,8.575874486041602492e+07,7.101100752854080498e+07,8.416129023733812571e+07,6.951538282932752371e+07,3.782441874880655670e+10,3.396775041601189041e+10,3.745138624795543671e+10,3.357478791411558151e+10,1.157086951705620997e+07,7.669061509017200209e+06,1.105561360767113976e+07,7.279916233899034560e+06,1.546230885297423974e+07,1.660773780184845999e+07,1.533447025480356067e+07,2.221201874290822074e+07,2.061641129195154086e+07,2.214364985252112895e+07,2.044595983195718005e+07,1.463300967617898993e+07,1.328898680044014007e+07,1.454908992074243911e+07,1.314718470323207974e+07,1.254399324398745969e+07,1.327403175961356051e+07,1.246337040153715946e+07,1.448115426825479977e+07,1.313833733536170982e+07,1.238910830404583924e+07,6.960733529211228898e+00,6.869129412692453585e+00,8.820367219854716797e+12,8.216131153271132812e+11,6.863048029309733344e+00,8.821266530772278309e+08,2.338839247959131002e+08,3.647130722603395939e+09,3.699042298377542973e+09,3.650362467091509819e+09,3.702910002749302864e+09,2.494877520263101906e+05
