  0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.1799999979520000E+13   0.3099999928320000E+12   0.0000000000000000E+00   0.1900000000000000E+06   0.1100000000000000E+09   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.4300000000000000E+08
  0.2777777777777778E-03   0.2006026788930483E+05   0.6027876591216615E-01   0.2186482654358709E+06   0.7114577497425083E+05   0.2106401438315768E+05   0.4284241453176521E+05   0.1071330278128131E+05   0.1580956271517068E+09   0.4682411552550513E+08   0.9522657975708859E+08   0.2381964853620996E+08   0.2184278712527280E+06   0.6461078573235658E+05   0.1314463461453566E+06   0.3284565420484845E+05   0.6314931943464539E+03   0.1242749760990172E+04   0.3408563121138592E+03   0.2474212509383707E+04   0.8419909048842018E+03   0.1656999640168198E+04   0.4544750715314685E+03   0.2952069252976337E+04   0.9600629142742466E+03   0.1913392790414795E+04   0.5068392516116573E+03   0.3411576615232337E+03   0.6633790874605102E+03   0.1879301249870542E+03   0.1299990776951961E+04   0.3606694864966022E+03   0.1057763691894038E+03   0.9392409276115743E-01   0.1646229523517716E+00   0.1799442845328485E+13   0.3090573331675374E+12   0.2031025315561762E+00   0.1718484219721465E+09   0.1096355862278937E+09   0.2405087608284601E+09   0.1112225745212017E+09   0.1949423198647811E+09   0.7138065601085861E+08   0.4250296593423675E+08
  0.5555555555555556E-03   0.1296128161618992E+06   0.1523273085287603E+00   0.7520612217337200E+06   0.1881061277128234E+06   0.9482578460297981E+05   0.1497578666512326E+06   0.6868435640368274E+05   0.4194874004491075E+09   0.2117251935540439E+09   0.3341958106749414E+09   0.1534428853451076E+09   0.5724180046437299E+06   0.2876780297666190E+06   0.4549446715876510E+06   0.2080788457162901E+06   0.4574727499059339E+04   0.6902365157268119E+04   0.3466558621757142E+04   0.1068436018612486E+05   0.6099636513926341E+04   0.9203153314461379E+04   0.4622078047552308E+04   0.9792412243779343E+04   0.5294648238206772E+04   0.8177116220948698E+04   0.3922584337480454E+04   0.3137945229653752E+04   0.4658121569595360E+04   0.2414104134768511E+04   0.7049011056890035E+04   0.3519839740296396E+04   0.1887528122540761E+04   0.1750705634999407E+00   0.2227919643976397E+00   0.1798887789398685E+13   0.3079548293563881E+12   0.2295864025747109E+00   0.1795760025268449E+09   0.1087465646428956E+09   0.2720533582769020E+09   0.2074536966754581E+09   0.2640021574543946E+09   0.1805036063978158E+09   0.4130764493553461E+08
  0.8333333333333334E-03   0.3086287320820626E+06   0.1987414800532845E+00   0.1410517594448603E+07   0.3097605281880341E+06   0.1975685971451136E+06   0.2698621108855473E+06   0.1631538033933189E+06   0.6938927929096003E+09   0.4435063382134224E+09   0.6051103018629971E+09   0.3665755506220964E+09   0.9322026349323313E+06   0.5914245751168160E+06   0.8101262472160346E+06   0.4873146591427729E+06   0.1140463012208274E+05   0.1487450980099808E+05   0.9752144176305263E+04   0.2144828409338324E+05   0.1520617311846093E+05   0.1983267924211419E+05   0.1300285857881087E+05   0.1732232993740624E+05   0.1165594286703323E+05   0.1561142382984719E+05   0.9772549075399336E+04   0.8524807226342289E+04   0.1094087537531888E+05   0.7374044773596792E+04   0.1438931719579088E+05   0.9298631842722669E+04   0.6457261468812090E+04   0.2085772066430401E+00   0.2292316236483261E+00   0.1798334893154514E+13   0.3068491984859511E+12   0.2300659856344608E+00   0.1798818369466051E+09   0.1076491373659394E+09   0.2753813785506077E+09   0.2496600403537529E+09   0.2743826748702058E+09   0.2378870102651786E+09   0.3986547985768335E+08
  0.1111111111111111E-02   0.5172100263513969E+06   0.2151506259588350E+00   0.2108251499734403E+07   0.4305021235574092E+06   0.3111447786931898E+06   0.3904638243354280E+06   0.2733902383309149E+06   0.9691285085709857E+09   0.7024225334440150E+09   0.8800280152632887E+09   0.6178850932213402E+09   0.1279978788137024E+07   0.9185165424356646E+06   0.1157496757043360E+07   0.8047666534481563E+06   0.1959885615452036E+05   0.2357364841803553E+05   0.1770635307005394E+05   0.3306042922058855E+05   0.2613180755703669E+05   0.3143153044343688E+05   0.2360847017374924E+05   0.2489780216974755E+05   0.1878217594353171E+05   0.2317813955224855E+05   0.1668938945628271E+05   0.1523056306574973E+05   0.1805900079556730E+05   0.1388377698882629E+05   0.2194729454970247E+05   0.1620766468991944E+05   0.1277718487415230E+05   0.2188405327203825E+00   0.2266316097869450E+00   0.1797784151105617E+13   0.3057475278671614E+12   0.2265949608422990E+00   0.1798441704708340E+09   0.1064862475353487E+09   0.2749066421944293E+09   0.2654989035575990E+09   0.2749511027888517E+09   0.2610222780993139E+09   0.3837693471301499E+08
  0.1388888888888889E-02   0.7347661794998053E+06   0.2186802458887906E+00   0.2813413039509484E+07   0.5495717927841052E+06   0.4277043450510527E+06   0.5095930761048900E+06   0.3887394324850308E+06   0.1243555409723742E+10   0.9710696842914597E+09   0.1154592352186688E+10   0.8837451696624794E+09   0.1613622855545580E+07   0.1245110560218160E+07   0.1491307438500842E+07   0.1127961371017857E+07   0.2831099898662506E+05   0.3247752337839556E+05   0.2632818855899219E+05   0.4492631505543771E+05   0.3774799771135177E+05   0.4330336342907677E+05   0.3510425054016612E+05   0.3242882268267309E+05   0.2615453578405465E+05   0.3071293067146467E+05   0.2398524165050030E+05   0.2244789465403330E+05   0.2543505782914512E+05   0.2102634837281569E+05   0.2948585828836750E+05   0.2350717859050466E+05   0.1984583674723760E+05   0.2199387016628934E+00   0.2226402850393059E+00   0.1797235553845366E+13   0.3046501320416560E+12   0.2224890469042868E+00   0.1797892258599412E+09   0.1053109783140655E+09   0.2739236799854480E+09   0.2707836944102349E+09   0.2741098787233234E+09   0.2692342853774050E+09   0.3691333083560323E+08
  0.1666666666666667E-02   0.9530109368329538E+06   0.2173378417452663E+00   0.3514522393837094E+07   0.6668827899202701E+06   0.5442493278450482E+06   0.6269884900655812E+06   0.5048942632044278E+06   0.1516956718722587E+10   0.1242687780876720E+10   0.1428190412454823E+10   0.1154454952562989E+10   0.1933300922703077E+07   0.1562695248001896E+07   0.1811215510197185E+07   0.1444480062017976E+07   0.3718442798217870E+05   0.4141562445847972E+05   0.3517194924337047E+05   0.5683521262273031E+05   0.4957923607825796E+05   0.5522083123988216E+05   0.4689593115982094E+05   0.3990365928826031E+05   0.3358059993189586E+05   0.3819314637549107E+05   0.3138646330860311E+05   0.2982554491871841E+05   0.3286646621877467E+05   0.2837933730766048E+05   0.3697145696323179E+05   0.3091372672713162E+05   0.2717425592658069E+05   0.2176927133787510E+00   0.2184936724413437E+00   0.1796689091826673E+13   0.3035570103934119E+12   0.2183326305026148E+00   0.1797331360657201E+09   0.1041424627351276E+09   0.2728765075842317E+09   0.2720767052006695E+09   0.2730777807089297E+09   0.2716331695276944E+09   0.3549812025459239E+08
  0.1944444444444444E-02   0.1168881751928216E+07   0.2142536371080679E+00   0.4207520848661290E+07   0.7824462009999922E+06   0.6596867761636121E+06   0.7426370139360519E+06   0.6202438383446011E+06   0.1789307210871231E+10   0.1514742171283127E+10   0.1700741489859895E+10   0.1426302604874490E+10   0.2239540990793012E+07   0.1868599389420925E+07   0.2117681129707905E+07   0.1750150345646033E+07   0.4607426347054120E+05   0.5032169264768407E+05   0.4405502799368466E+05   0.6870123062264905E+05   0.6143234976836605E+05   0.6709558853057519E+05   0.5874003586608836E+05   0.4732114743267807E+05   0.4099001657850843E+05   0.4561609749177512E+05   0.3879024608370682E+05   0.3722690443294764E+05   0.4028133988053454E+05   0.3577507169385296E+05   0.4439987507488294E+05   0.3832296236239659E+05   0.3456437068687295E+05   0.2142820626323606E+00   0.2143843365768703E+00   0.1796144755541417E+13   0.3024681457019063E+12   0.2142274419470124E+00   0.1796770462019039E+09   0.1029874653218945E+09   0.2718247966088793E+09   0.2718940948968700E+09   0.2720238740017588E+09   0.2718580231508418E+09   0.3413780901268651E+08
  0.2222222222222222E-02   0.1381328040738965E+07   0.2106060516387771E+00   0.4891055330459445E+07   0.8962887699138962E+06   0.7736373205272943E+06   0.8565621965621242E+06   0.7342151856558708E+06   0.2060607432173440E+10   0.1786299995361847E+10   0.1972238585834200E+10   0.1697910132602378E+10   0.2532923751766288E+07   0.2162259643547584E+07   0.2411276803304094E+07   0.2043863865365106E+07   0.5492706705541244E+05   0.5917251840829191E+05   0.5290945106901343E+05   0.8049377380840026E+05   0.7323608758837868E+05   0.7889668925163550E+05   0.7054593300665742E+05   0.5468153746913218E+05   0.4835739270922123E+05   0.5298182878212265E+05   0.4615896947237037E+05   0.4460127408142831E+05   0.4765406232507795E+05   0.4315079023514266E+05   0.5177095149526028E+05   0.4569703303820793E+05   0.4194143852756671E+05   0.2105198604476348E+00   0.2103642638411178E+00   0.1795602535530906E+13   0.3013835193006421E+12   0.2102132094248448E+00   0.1796211495432607E+09   0.1018482411968814E+09   0.2707763176801376E+09   0.2711713130320244E+09   0.2709708913550386E+09   0.2712823348231760E+09   0.3283297322015753E+08
  0.2500000000000000E-02   0.1590037717029862E+07   0.2068225042187705E+00   0.5564750924794354E+07   0.1008439873189360E+07   0.8859822714769826E+06   0.9687930667711915E+06   0.8466186462906490E+06   0.2330861260681316E+10   0.2057021055466525E+10   0.2242684627412070E+10   0.1968772229672338E+10   0.2814022385355101E+07   0.2443843853316406E+07   0.2692575376480810E+07   0.2325594609827579E+07   0.6372354474338517E+05   0.6796006087795873E+05   0.6171051108973943E+05   0.9220216939196842E+05   0.8496472421439180E+05   0.9061341225353663E+05   0.8228067940952316E+05   0.6198525960721729E+05   0.5567374092843328E+05   0.6029074559294660E+05   0.5347912885541933E+05   0.5193027033028702E+05   0.5497561419317187E+05   0.5048360428496457E+05   0.5908506667359474E+05   0.5302239877918315E+05   0.4927807238656975E+05   0.2066985529662452E+00   0.2064454879620046E+00   0.1795062422386908E+13   0.3003031122869468E+12   0.2063002769401566E+00   0.1795655029767480E+09   0.1007254152174775E+09   0.2697320525217344E+09   0.2702527866637394E+09   0.2699219120160734E+09   0.2704148490879986E+09   0.3158218192498376E+08
