# time,fragdummy,T_RO_O4,NO2,T_O0_NO3,T_O2_NO3,T_O1_NO3,T_O3_NO3,Tuni_O1_O,Tuni_O3_O,Tuni_O2_O,Tuni_O4_O,T_O0_OOH,T_O2_OOH,T_O1_OOH,T_O3_OOH,T_O1_2OH,T_O0_2OH,T_O2_2OH,T_O0_O,T_O2_O,T_O1_O,T_O3_O,TO1_TO1,TO1_TO3,TO1_TO2,TO1_TO4,TO3_TO3,TO3_TO2,TO3_TO4,TO2_TO2,TO2_TO4,TO4_TO4,T_RO_O3,T_RO_O2,O3,TOY,T_RO_O1,OH,NO,T_RO2_O2,T_RO2_O4,T_RO2_O3,T_RO2_O5,HO2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.010000042393600000e+13,4.700000092160000000e+11,0.000000000000000000e+00,5.600000000000000000e+05,1.400000000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+07
2.777777777777777775e-04,2.667687013745167060e+05,7.750043095277755478e-01,2.484005168361711781e+06,7.570893838903040159e+05,2.238454437856329023e+05,5.364138248434953857e+05,1.386547519277526007e+05,1.337830449006098032e+09,3.968627066500946283e+08,9.496940172750061750e+08,2.461826221019720137e+08,1.360496776137671899e+06,3.989127856303245062e+05,9.593114619847493013e+05,2.461899939974315930e+05,4.827115413035531674e+04,1.099614180586909060e+05,3.143289841215470005e+04,1.894348251160949876e+05,6.436153724203773891e+04,1.466152204370262043e+05,4.191053017534699757e+04,2.111176033496205928e+05,6.874641212090152840e+04,1.594200083755081869e+05,4.401004363916762668e+04,2.448077561455083924e+04,5.465361540437713120e+04,1.624011655732773033e+04,1.242029384818318067e+05,3.566874129609239753e+04,1.093115396495758978e+04,1.036837982484688947e+00,1.990404054181126092e+00,1.009529416668260938e+13,4.615867948247888794e+11,2.233389435611544904e+00,1.000189550107177019e+09,1.358599914271911085e+08,2.026166046164036989e+09,9.406365571188304424e+08,1.805726355085514069e+09,7.030970182487130165e+08,2.970565441108603030e+07
5.555555555555555551e-04,1.583739633407407906e+06,1.745124561851203016e+00,8.009787819291502237e+06,1.933834870986213908e+06,9.684651995361772133e+05,1.659817435908294981e+06,7.777409071468348848e+05,3.523851785583640099e+09,1.783995845517815113e+09,3.037736386428670883e+09,1.437992997502114058e+09,3.229011775708485860e+06,1.573002834137883037e+06,2.740731298465209082e+06,1.251159101665545953e+06,3.339315423599004280e+05,5.353576943359002471e+05,2.781123051215364831e+05,7.816668400335074402e+05,4.452420454221615801e+05,7.138102413868649164e+05,3.708163976193906274e+05,6.894082430528532714e+05,3.734402840265976847e+05,6.166402270024815807e+05,3.061866002434653929e+05,2.222010285643716925e+05,3.469826308108578087e+05,1.875489053468634957e+05,5.616013693135204958e+05,2.875477614108714042e+05,1.597345067212703871e+05,1.898401109641780105e+00,2.435379227638112987e+00,1.009068201681480078e+13,4.523708733223093262e+11,2.468711111085572174e+00,1.009215449275408983e+09,1.266503537671308964e+08,2.258238171308815002e+09,1.736551124276483059e+09,2.227748079153727055e+09,1.596342472135288000e+09,2.322899439291448891e+07
8.333333333333333868e-04,3.534168336105511989e+06,2.068833352626460176e+00,1.418009883900511079e+07,3.058765094365721103e+06,1.927089138178885914e+06,2.778499758279699832e+06,1.689045000401400961e+06,5.783335849908455849e+09,3.711783487481201172e+09,5.284852757798016548e+09,3.271310821851496220e+09,4.699261908723399043e+06,2.822084978070920799e+06,4.202518155480295420e+06,2.437459762063158210e+06,8.086737464806269854e+05,1.088059896368016955e+06,7.297739677532914793e+05,1.522592833075697999e+06,1.078231635195997078e+06,1.450746492461011047e+06,9.730319328388795257e+05,1.199936829963559052e+06,8.089927354708814528e+05,1.124372322555463063e+06,7.203863236053433502e+05,5.947117909880009247e+05,7.802220898402398452e+05,5.420693912731371820e+05,1.066558151321189012e+06,6.995692864917033585e+05,4.972133979383974802e+05,2.128745631922083881e+00,2.317475070762708977e+00,1.008616404869496094e+13,4.433339674094699707e+11,2.320450070381625096e+00,1.008842156117079973e+09,1.163665021697690934e+08,2.249117063686954021e+09,2.063305456395554066e+09,2.246233419809226990e+09,2.005234873488615036e+09,1.726519459671723098e+07
1.111111111111110893e-03,5.614684390547611751e+06,2.057098057215196008e+00,2.011344757516961172e+07,4.076152241448674817e+06,2.896120804896846879e+06,3.795645051590591203e+06,2.641046619161725976e+06,8.012809639672681808e+09,5.836280680636180878e+09,7.513820404476320267e+09,5.358745979862748146e+09,5.768689051529555582e+06,3.839500939237358049e+06,5.271662358537706546e+06,3.436666997380671091e+06,1.359763217650908045e+06,1.666193822405321989e+06,1.271264516112918034e+06,2.293611296445580199e+06,1.813017578507765895e+06,2.221591708033268806e+06,1.695019312720963964e+06,1.697006282577037113e+06,1.282611639487623936e+06,1.621327833541658940e+06,1.185730236201497959e+06,1.046137773311674013e+06,1.253736143618518952e+06,9.856501248982800171e+05,1.563399839902977925e+06,1.164811211746023037e+06,9.330968755812649615e+05,2.077728988486005957e+00,2.122217295679138083e+00,1.008173827800533984e+13,4.344814942833109131e+11,2.121537576850549112e+00,1.008372097510416985e+09,1.064775877077324986e+08,2.208429113934469223e+09,2.162821126980843067e+09,2.209136423834376812e+09,2.141343909084829092e+09,1.264831175277639925e+07
1.388888888888888942e-03,7.614347425267157145e+06,1.931194655511409008e+00,2.556271020091331005e+07,4.988789423276792280e+06,3.802489940380197018e+06,4.708679183073917404e+06,3.541847830640139990e+06,1.019920738976984978e+10,8.008028494685772896e+09,9.701171259569723129e+09,7.517251044683204651e+09,6.536140750876408070e+06,4.601364110752481967e+06,6.039445985692606308e+06,4.193764535840012133e+06,1.927565525540971896e+06,2.238078861368732061e+06,1.835603621954293922e+06,3.055792433647799771e+06,2.570087303559155203e+06,2.984105074380592909e+06,2.447471435155448969e+06,2.175056038998676930e+06,1.757440024716221960e+06,2.099585877989850938e+06,1.657658347469996894e+06,1.517787306595912902e+06,1.728771538762306096e+06,1.454424397699139081e+06,2.041866263932848116e+06,1.636945102246874012e+06,1.399014921107094968e+06,1.937660346701882030e+00,1.931626190747095073e+00,1.007740274552315039e+13,4.258096316541016235e+11,1.930689929535476912e+00,1.007913787810197949e+09,9.739548342171549797e+07,2.164316847769517899e+09,2.172130759813076019e+09,2.165366403038457870e+09,2.164882681757081032e+09,9.254760587089544162e+06
1.666666666666666990e-03,9.470717497566187754e+06,1.782525242403695032e+00,3.049275404421624914e+07,5.807129578406389803e+06,4.628110379745279439e+06,5.527410059472729452e+06,4.365852173655959778e+06,1.234157350736713982e+10,1.016959067466823006e+10,1.184455984514146042e+10,9.674617694345483780e+09,7.087183722157615237e+06,5.157222394403598271e+06,6.590752317838245071e+06,4.748512119450915605e+06,2.487377884457190055e+06,2.793188435237959959e+06,2.394328377411066089e+06,3.795585425202711020e+06,3.316503763576658908e+06,3.724251154491168913e+06,3.192437757263040170e+06,2.634045238302830141e+06,2.220535057431865018e+06,2.558794155828549992e+06,2.119852754027123097e+06,1.985027854604685912e+06,2.192087601032255217e+06,1.920757026449569967e+06,2.501293724901596084e+06,2.099360106232400984e+06,1.864441595087056048e+06,1.784186417803335978e+00,1.762266871488666897e+00,1.007315553670169922e+13,4.173145244244752197e+11,1.761453254055928896e+00,1.007470084999588966e+09,8.917874376450328529e+07,2.120538199770137072e+09,2.147904222333409786e+09,2.121517672952510118e+09,2.145904014587734938e+09,6.795921498368700035e+06
1.944444444444443955e-03,1.117686730040637963e+07,1.637671190267663057e+00,3.493358171745409817e+07,6.541783214557381347e+06,5.373731985634773970e+06,6.262388451892102137e+06,5.111150247828572057e+06,1.444056017980991936e+10,1.229995814104232025e+10,1.394447379325703049e+10,1.180407145500633049e+10,7.484618591905277222e+06,5.560570879544898868e+06,6.988363139408140443e+06,5.151680774651658721e+06,3.031017230988340918e+06,3.329057212671052199e+06,2.937734377275018021e+06,4.509761596404176205e+06,4.041356207616290078e+06,4.438742839990698732e+06,3.916979072420797776e+06,3.074635016359698959e+06,2.667709636839393992e+06,2.999578604158780072e+06,2.566835005989152007e+06,2.438885972983531188e+06,2.639459755857681856e+06,2.374420021636764985e+06,2.942272929575655144e+06,2.546539847598394845e+06,2.317909570085093845e+06,1.637773019724465984e+00,1.611889954858569896e+00,1.006899478055983984e+13,4.089924040886207275e+11,1.611210486174950995e+00,1.007039984292744040e+09,8.177736438263298571e+07,2.077576839173868895e+09,2.111825667796787977e+09,2.078452983117721081e+09,2.111693765831322908e+09,5.016407233603359200e+06
2.222222222222221787e-03,1.274187432392276078e+07,1.503451901381541056e+00,3.893170023556526005e+07,7.202345908629242331e+06,6.045705270150338300e+06,6.923217686504274607e+06,5.783197313840178773e+06,1.649702021937038040e+10,1.439195687471734047e+10,1.600176314098204041e+10,1.389630300889499092e+10,7.772832595927306451e+06,5.853758567996818572e+06,7.276693596690579318e+06,5.444899649920908734e+06,3.555315311236427166e+06,3.844656592342006974e+06,3.462090766140540130e+06,5.196950290395575576e+06,4.740420297252293676e+06,5.126208662478576414e+06,4.616120906878118403e+06,3.497552427494924981e+06,3.097934917114433832e+06,3.422666589544546790e+06,2.997108008428419009e+06,2.876545439443652052e+06,3.069858556565112900e+06,2.812128042889432982e+06,3.365531558050035033e+06,2.976986389456199016e+06,2.755666153132108971e+06,1.503096341388638013e+00,1.477247747422645974e+00,1.006491864898947070e+13,4.008395938467352295e+11,1.476678275255788098e+00,1.006622099912906051e+09,7.511383358531063795e+07,2.035484684551798105e+09,2.071898845170650005e+09,2.036269663252439022e+09,2.072388682460036993e+09,3.724239422670757864e+06
2.500000000000000052e-03,1.417889798394134082e+07,1.382272633661830064e+00,4.253442215454027057e+07,7.797283080070807599e+06,6.651477435931826010e+06,7.518375148557415232e+06,6.389145067564276047e+06,1.851182089204816818e+10,1.644345713402347946e+10,1.801730945619449997e+10,1.594839871952255058e+10,7.983057315499491058e+06,6.067810460138751194e+06,7.486996250864289701e+06,5.659013396304870024e+06,4.059480455756321084e+06,4.339985966490259394e+06,3.966402234570764005e+06,5.857145108550366946e+06,5.412640473250716925e+06,5.786647811607394367e+06,5.288536181418801658e+06,3.903508620296209119e+06,3.511285294623224996e+06,3.828773039264992811e+06,3.410578320594511926e+06,3.297424687499193940e+06,3.483361927385753021e+06,3.233129410944718868e+06,3.771788320331755094e+06,3.390609739269284066e+06,3.176789676723641809e+06,1.381821179369278063e+00,1.357244507851296023e+00,1.006092535536275000e+13,3.928525054393270264e+11,1.356762523584690072e+00,1.006215245181874037e+09,6.910929711333534122e+07,1.994255859478523016e+09,2.031088261262995005e+09,1.994964315952846050e+09,2.031751740267390966e+09,2.781247182909971103e+06
