# time,fragdummy,T_RO_O4,NO2,T_O0_NO3,T_O2_NO3,T_O1_NO3,T_O3_NO3,Tuni_O1_O,Tuni_O3_O,Tuni_O2_O,Tuni_O4_O,T_O0_OOH,T_O2_OOH,T_O1_OOH,T_O3_OOH,T_O1_2OH,T_O0_2OH,T_O2_2OH,T_O0_O,T_O2_O,T_O1_O,T_O3_O,TO1_TO1,TO1_TO3,TO1_TO2,TO1_TO4,TO3_TO3,TO3_TO2,TO3_TO4,TO2_TO2,TO2_TO4,TO4_TO4,T_RO_O3,T_RO_O2,O3,TOY,T_RO_O1,OH,NO,T_RO2_O2,T_RO2_O4,T_RO2_O3,T_RO2_O5,HO2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200000126976000000e+12,3.800000102400000000e+11,0.000000000000000000e+00,3.200000000000000000e+05,7.300000000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.100000000000000000e+07
2.777777777777777775e-04,3.587306607273441041e+05,1.048337068681822970e+00,4.270688912310812622e+06,1.342149668498619925e+06,3.975843200470653828e+05,8.829121251728472998e+05,2.244797571128736890e+05,4.507196215677738786e+08,1.336601649402956963e+08,2.967068260843139291e+08,7.550525693836285174e+07,1.017809850542139029e+06,3.006927994009202812e+05,6.683734514644924784e+05,1.695509487849212892e+05,5.320904766252523586e+03,1.134065255641405929e+04,3.173069943358263117e+03,2.085054055629677896e+04,7.094539512141909654e+03,1.512086969968788981e+04,4.230759819405628150e+03,2.397775542741183017e+04,7.806591772023231897e+03,1.689391096722728980e+04,4.564603863151332916e+03,2.778144893482162843e+03,5.829095443030948445e+03,1.689451112183498935e+03,1.237837946941250084e+04,3.492238104773536179e+03,1.046087406753877985e+03,1.503771383148756913e+00,2.779431182742257977e+00,4.198409807907443848e+12,3.772292778570098877e+11,3.245009196935384921e+00,4.104653571306620240e+08,7.228821852168581486e+08,6.842798422933601141e+08,3.171027447372410893e+08,5.861029197749544382e+08,2.210646706416366100e+08,6.860396993431298435e+07
5.555555555555555551e-04,2.176975183905830141e+06,2.456714165956741969e+00,1.434863237340169027e+07,3.514489849049635231e+06,1.769454961408951087e+06,2.923978114244326018e+06,1.357831753330125008e+06,1.192471006747206926e+09,6.025222473974006176e+08,9.938031170848556757e+08,4.630196700160244703e+08,2.598247544106305111e+06,1.296455698361417977e+06,2.152403220898856875e+06,9.912777958755515283e+05,3.767169533923231938e+04,5.894536527683609165e+04,3.008797816311900897e+04,8.813121011535072466e+04,5.022892587152760825e+04,7.859381841721622914e+04,4.011730322116801108e+04,7.905482438703159278e+04,4.276987525118106714e+04,6.871641599427424080e+04,3.351918945819653163e+04,2.537803983874327969e+04,3.888665314923530241e+04,2.056305732904222896e+04,6.120385341609574243e+04,3.093037119589931899e+04,1.686832065769628025e+04,2.733485434097862932e+00,3.513836680214385222e+00,4.196832942682223145e+12,3.740841960869232178e+11,3.577103111475728792e+00,4.196564771973869801e+08,7.060856129485657215e+08,7.701117690486515760e+08,5.884901326159998178e+08,7.564912188190317154e+08,5.289043074473209977e+08,6.317957301291623712e+07
8.333333333333333868e-04,4.993823999597975984e+06,3.067007454322157045e+00,2.639592767839445174e+07,5.724700681366537698e+06,3.639144553577185143e+06,5.120553662456445396e+06,3.112885784496178851e+06,1.967365985109942913e+09,1.258296366001919985e+09,1.763948206946929932e+09,1.078688092681305885e+09,4.103430093261511065e+06,2.568448782831255812e+06,3.648150738312244881e+06,2.184787737556802109e+06,9.266010005597553391e+04,1.234392634128727950e+05,8.174407078715537500e+04,1.746408164342358941e+05,1.235467970063162065e+05,1.645856804629676044e+05,1.089920916760260006e+05,1.391013144809450896e+05,9.359045353764503670e+04,1.283954314889756060e+05,8.123349225124318036e+04,6.849255378724928596e+04,8.940822637349159049e+04,6.108139911832571670e+04,1.205190803527058015e+05,7.836852175413601799e+04,5.496172312289686670e+04,3.176803785223074161e+00,3.497400841775573976e+00,4.195269835528784180e+12,3.709574445355889282e+11,3.497640086717515029e+00,4.197266142222489119e+08,6.860067876397095919e+08,7.758013148486660719e+08,7.046376099613176584e+08,7.757482486217826605e+08,6.802840277542243004e+08,5.710575844030912220e+07
1.111111111111110893e-03,8.159996386670690961e+06,3.218154453131012005e+00,3.881534452675072104e+07,7.866176366343869828e+06,5.656835099969933741e+06,7.265181837179278024e+06,5.088702405014428310e+06,2.740932690561282158e+09,1.987261680327721119e+09,2.538657887507480145e+09,1.792567268435034037e+09,5.456747533919074573e+06,3.843042222174327821e+06,5.003441997825047933e+06,3.432743587167615071e+06,1.577900380340786069e+05,1.926460558087299869e+05,1.455298378172203084e+05,2.667798995289445738e+05,2.103867121537610947e+05,2.568614013657514879e+05,1.940397789372637926e+05,1.989420779168329900e+05,1.499791061786627106e+05,1.883245430175738002e+05,1.364544637443202082e+05,1.216449448496311961e+05,1.458807571355912951e+05,1.131393496202123060e+05,1.805366943015836878e+05,1.336718678541533882e+05,1.059500875543904986e+05,3.253857321256655943e+00,3.371020947258430045e+00,4.193720366643551758e+12,3.678577674698474731e+11,3.363376681066191143e+00,4.195685587473791242e+08,6.653077597647417784e+08,7.708269501755870581e+08,7.457269731848201752e+08,7.725788754531958103e+08,7.375444823562488556e+08,5.129336065055677295e+07
1.388888888888888942e-03,1.137097411818441935e+07,3.186804681971477038e+00,5.104717213982243091e+07,9.926622378211650997e+06,7.677224368431588635e+06,9.330650078014213592e+06,7.096950423377378844e+06,3.508614104891068935e+09,2.740061446948787212e+09,3.308210846175836086e+09,2.540858831039437771e+09,6.661828349762474187e+06,5.024528133129610680e+06,6.211458718418183737e+06,4.607068291171555407e+06,2.263252647039961012e+05,2.627057482835606206e+05,2.136549075557107863e+05,3.599656322482724790e+05,3.017670121108635212e+05,3.502743223455906846e+05,2.848732029993786127e+05,2.578758913095725875e+05,2.077696011568373942e+05,2.474020248160969932e+05,1.938985548818281095e+05,1.783165834215520008e+05,2.038121528690810082e+05,1.694721267081931874e+05,2.397581949085204978e+05,1.912560223219133040e+05,1.619463354912326031e+05,3.194539516127151035e+00,3.234022808601149990e+00,4.192184407628084961e+12,3.647851528631527100e+11,3.225951379252201878e+00,4.194018616921535730e+08,6.449213806121428013e+08,7.644777884581452608e+08,7.570335231734549999e+08,7.663905259270346165e+08,7.552004114670099020e+08,4.599457379373978823e+07
1.666666666666666990e-03,1.451318388578712940e+07,3.092271581034424788e+00,6.290731904803097248e+07,1.190710870563982986e+07,9.648284195566076785e+06,1.131604718334561959e+07,9.066771572589047253e+06,4.269848885506445885e+09,3.497689051904218197e+09,4.071333043372018814e+09,3.298015998634777069e+09,7.733249492929526605e+06,6.090793253991494887e+06,7.285536983989121392e+06,5.672643397145819850e+06,2.954488549183185096e+05,3.323307397457981715e+05,2.827355445284196176e+05,4.525693479919062811e+05,3.939317967743559857e+05,4.431076419897004962e+05,3.769807166754752980e+05,3.158240801917490899e+05,2.654428624358812813e+05,3.054938939388194121e+05,2.515358863154953870e+05,2.357165444659623026e+05,2.616284101936919906e+05,2.268364424257957144e+05,2.979941005415056134e+05,2.490362598244416877e+05,2.192750684328961943e+05,3.090205922954143869e+00,3.101088441728614864e+00,4.190661831144354004e+12,3.617393586547133179e+11,3.093528972279163902e+00,4.192358806944494843e+08,6.251544692948282957e+08,7.579916717806137800e+08,7.571773073333526850e+08,7.598439289121749401e+08,7.576833950543112755e+08,4.124197417898538709e+07
1.944444444444443955e-03,1.754946286118432134e+07,2.979251745748821900e+00,7.434421868726186454e+07,1.381069999395103939e+07,1.155347152432084084e+07,1.322420319647713006e+07,1.097443651251986064e+07,5.024607202705196381e+09,4.253086316293756008e+09,4.827901054703434944e+09,4.054397588658154964e+09,8.686030055771263316e+06,7.044353364039620385e+06,8.240602842668156140e+06,6.627437381884691305e+06,3.640526443997807219e+05,4.010409426620745799e+05,3.514287010257549118e+05,5.439638085982749471e+05,4.854035138112477143e+05,5.347212436028206721e+05,4.685715897305716062e+05,3.727904384465757175e+05,3.224573180481175077e+05,3.625968449913453078e+05,3.086245939762587077e+05,2.927791855611706851e+05,3.187795725318897748e+05,2.839734135739465710e+05,3.552339719527030829e+05,3.062618518010969274e+05,2.764864713524429826e+05,2.974046095840686910e+00,2.974283057634365957e+00,4.189152511194152832e+12,3.587201309398090210e+11,2.967307851803797192e+00,4.190720884890099764e+08,6.060929700854690075e+08,7.515322850795083046e+08,7.532388361982825994e+08,7.532989005895779133e+08,7.545572565665949583e+08,3.700175136553668231e+07
2.222222222222221787e-03,2.047071479378027841e+07,2.863708252279407951e+00,8.535270742811739445e+07,1.564071201944907941e+07,1.338905291275423951e+07,1.505843214896886051e+07,1.281360645773454010e+07,5.772929510787100792e+09,5.003688508470545769e+09,5.577947557472345352e+09,4.806467811892803192e+09,9.533883645515166223e+06,7.894780262726573274e+06,9.090410654515042901e+06,7.479525150603573769e+06,4.317406783559591277e+05,4.686789105859461124e+05,4.192491090763839893e+05,6.339404462842955254e+05,5.756542235114182113e+05,6.249051985949066002e+05,5.589987982189600589e+05,4.287894074947661720e+05,3.786268451864128001e+05,4.187248438531684806e+05,3.649039650760496152e+05,3.491197981408556225e+05,3.750785219160154229e+05,3.404242066166715231e+05,4.114912979715417023e+05,3.626708981056708726e+05,3.330476608024900197e+05,2.857728523502093054e+00,2.853799611630683852e+00,4.187656323131642090e+12,3.557272157364296875e+11,2.847370102766618949e+00,4.189108074864655733e+08,5.877454890329756737e+08,7.451206077929418087e+08,7.478312571909567118e+08,7.468031286926515102e+08,7.493960695468307734e+08,3.322377793990259990e+07
2.500000000000000052e-03,2.327762844345176965e+07,2.751059843706309849e+00,9.594336379383055866e+07,1.740039569015070051e+07,1.515574912220563926e+07,1.682201191450411826e+07,1.458408421384052001e+07,6.514865326206711769e+09,5.748582153390259743e+09,6.321525920017568588e+09,5.552955990064379692e+09,1.028899042652188987e+07,8.652893359163410962e+06,9.847189724910570309e+06,8.239260663410061970e+06,4.983798080498906784e+05,5.352003967634260189e+05,4.860308855124461115e+05,7.224398292576447129e+05,6.645063942299927585e+05,7.136005112954416545e+05,6.480411645889849169e+05,4.838366189203403192e+05,4.338934862906499184e+05,4.738939259066556115e+05,4.202889085535074119e+05,4.046067452797209844e+05,4.304675192093334044e+05,3.960299278831991833e+05,4.667825205007959157e+05,4.181784596599799115e+05,3.887724104603410233e+05,2.745120035228075128e+00,2.739392109484795057e+00,4.186173143652062012e+12,3.527603613620377197e+11,2.733459248272147146e+00,4.187520294284713268e+08,5.700943952654684782e+08,7.387594507410477400e+08,7.419109514103894234e+08,7.403628979088345766e+08,7.435162736603951454e+08,2.985740630302894861e+07
