# time,fragdummy,T_RO_O4,NO2,T_O0_NO3,T_O2_NO3,T_O1_NO3,T_O3_NO3,Tuni_O1_O,Tuni_O3_O,Tuni_O2_O,Tuni_O4_O,T_O0_OOH,T_O2_OOH,T_O1_OOH,T_O3_OOH,T_O1_2OH,T_O0_2OH,T_O2_2OH,T_O0_O,T_O2_O,T_O1_O,T_O3_O,TO1_TO1,TO1_TO3,TO1_TO2,TO1_TO4,TO3_TO3,TO3_TO2,TO3_TO4,TO2_TO2,TO2_TO4,TO4_TO4,T_RO_O3,T_RO_O2,O3,TOY,T_RO_O1,OH,NO,T_RO2_O2,T_RO2_O4,T_RO2_O3,T_RO2_O5,HO2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.799999979520000000e+12,3.099999928320000000e+11,0.000000000000000000e+00,1.900000000000000000e+05,1.100000000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+07
2.777777777777777775e-04,2.006026788930482871e+04,6.027876591216615315e-02,2.186482654358709115e+05,7.114577497425083129e+04,2.106401438315767882e+04,4.284241453176520736e+04,1.071330278128131067e+04,1.580956271517068148e+08,4.682411552550513297e+07,9.522657975708858669e+07,2.381964853620995954e+07,2.184278712527279858e+05,6.461078573235657677e+04,1.314463461453565978e+05,3.284565420484844799e+04,6.314931943464539472e+02,1.242749760990172035e+03,3.408563121138591896e+02,2.474212509383707129e+03,8.419909048842017683e+02,1.656999640168198084e+03,4.544750715314684726e+02,2.952069252976336884e+03,9.600629142742466229e+02,1.913392790414794945e+03,5.068392516116572892e+02,3.411576615232336849e+02,6.633790874605101635e+02,1.879301249870541994e+02,1.299990776951960925e+03,3.606694864966021896e+02,1.057763691894037947e+02,9.392409276115742944e-02,1.646229523517716009e-01,1.799442845328485107e+12,3.090573331675374146e+11,2.031025315561761913e-01,1.718484219721465111e+08,1.096355862278936952e+08,2.405087608284600973e+08,1.112225745212017000e+08,1.949423198647811115e+08,7.138065601085861027e+07,4.250296593423675001e+07
5.555555555555555551e-04,1.296128161618992017e+05,1.523273085287603079e-01,7.520612217337200418e+05,1.881061277128233924e+05,9.482578460297980928e+04,1.497578666512325872e+05,6.868435640368274471e+04,4.194874004491075277e+08,2.117251935540438890e+08,3.341958106749414206e+08,1.534428853451075852e+08,5.724180046437298879e+05,2.876780297666189726e+05,4.549446715876510134e+05,2.080788457162900886e+05,4.574727499059338697e+03,6.902365157268119219e+03,3.466558621757142191e+03,1.068436018612486077e+04,6.099636513926340740e+03,9.203153314461378613e+03,4.622078047552307908e+03,9.792412243779343044e+03,5.294648238206771566e+03,8.177116220948698356e+03,3.922584337480453996e+03,3.137945229653751994e+03,4.658121569595359688e+03,2.414104134768510903e+03,7.049011056890035434e+03,3.519839740296396030e+03,1.887528122540760933e+03,1.750705634999407123e-01,2.227919643976397079e-01,1.798887789398685059e+12,3.079548293563881226e+11,2.295864025747109127e-01,1.795760025268448889e+08,1.087465646428955942e+08,2.720533582769020200e+08,2.074536966754581034e+08,2.640021574543946087e+08,1.805036063978157938e+08,4.130764493553461134e+07
8.333333333333333868e-04,3.086287320820625755e+05,1.987414800532845138e-01,1.410517594448602991e+06,3.097605281880340772e+05,1.975685971451135993e+05,2.698621108855472994e+05,1.631538033933188999e+05,6.938927929096002579e+08,4.435063382134224176e+08,6.051103018629970551e+08,3.665755506220964193e+08,9.322026349323312752e+05,5.914245751168159768e+05,8.101262472160345642e+05,4.873146591427728999e+05,1.140463012208274085e+04,1.487450980099807930e+04,9.752144176305262590e+03,2.144828409338324127e+04,1.520617311846093071e+04,1.983267924211419086e+04,1.300285857881087031e+04,1.732232993740624079e+04,1.165594286703323087e+04,1.561142382984719006e+04,9.772549075399336289e+03,8.524807226342289141e+03,1.094087537531887938e+04,7.374044773596791856e+03,1.438931719579087985e+04,9.298631842722668807e+03,6.457261468812090243e+03,2.085772066430401084e-01,2.292316236483261105e-01,1.798334893154513916e+12,3.068491984859511108e+11,2.300659856344607901e-01,1.798818369466050863e+08,1.076491373659393936e+08,2.753813785506076813e+08,2.496600403537529111e+08,2.743826748702058196e+08,2.378870102651785910e+08,3.986547985768335313e+07
1.111111111111110893e-03,5.172100263513969257e+05,2.151506259588349956e-01,2.108251499734403100e+06,4.305021235574092134e+05,3.111447786931897863e+05,3.904638243354280130e+05,2.733902383309148718e+05,9.691285085709856749e+08,7.024225334440150261e+08,8.800280152632887363e+08,6.178850932213401794e+08,1.279978788137024036e+06,9.185165424356645672e+05,1.157496757043360034e+06,8.047666534481563140e+05,1.959885615452035927e+04,2.357364841803552918e+04,1.770635307005394134e+04,3.306042922058855038e+04,2.613180755703668910e+04,3.143153044343688089e+04,2.360847017374923962e+04,2.489780216974754876e+04,1.878217594353171080e+04,2.317813955224855090e+04,1.668938945628271176e+04,1.523056306574972950e+04,1.805900079556729906e+04,1.388377698882629011e+04,2.194729454970247025e+04,1.620766468991944021e+04,1.277718487415230084e+04,2.188405327203825079e-01,2.266316097869449930e-01,1.797784151105616943e+12,3.057475278671613770e+11,2.265949608422989925e-01,1.798441704708339870e+08,1.064862475353486985e+08,2.749066421944292784e+08,2.654989035575990081e+08,2.749511027888516784e+08,2.610222780993139148e+08,3.837693471301499009e+07
1.388888888888888942e-03,7.347661794998053228e+05,2.186802458887905920e-01,2.813413039509484079e+06,5.495717927841051714e+05,4.277043450510526891e+05,5.095930761048899731e+05,3.887394324850307894e+05,1.243555409723742008e+09,9.710696842914596796e+08,1.154592352186687946e+09,8.837451696624794006e+08,1.613622855545579921e+06,1.245110560218160041e+06,1.491307438500842080e+06,1.127961371017856989e+06,2.831099898662506166e+04,3.247752337839555912e+04,2.632818855899219125e+04,4.492631505543771345e+04,3.774799771135176707e+04,4.330336342907677317e+04,3.510425054016611830e+04,3.242882268267308973e+04,2.615453578405464941e+04,3.071293067146467001e+04,2.398524165050029842e+04,2.244789465403330178e+04,2.543505782914512019e+04,2.102634837281568980e+04,2.948585828836750079e+04,2.350717859050465995e+04,1.984583674723760123e+04,2.199387016628933933e-01,2.226402850393059130e-01,1.797235553845365967e+12,3.046501320416560059e+11,2.224890469042868080e-01,1.797892258599412143e+08,1.053109783140655011e+08,2.739236799854480028e+08,2.707836944102349281e+08,2.741098787233234048e+08,2.692342853774049878e+08,3.691333083560322970e+07
1.666666666666666990e-03,9.530109368329538265e+05,2.173378417452662970e-01,3.514522393837093841e+06,6.668827899202700937e+05,5.442493278450481594e+05,6.269884900655811653e+05,5.048942632044277852e+05,1.516956718722587109e+09,1.242687780876719952e+09,1.428190412454823017e+09,1.154454952562988997e+09,1.933300922703077085e+06,1.562695248001896078e+06,1.811215510197184980e+06,1.444480062017976074e+06,3.718442798217869858e+04,4.141562445847971685e+04,3.517194924337047269e+04,5.683521262273030879e+04,4.957923607825796353e+04,5.522083123988215812e+04,4.689593115982093877e+04,3.990365928826030722e+04,3.358059993189585657e+04,3.819314637549107283e+04,3.138646330860310991e+04,2.982554491871840946e+04,3.286646621877467260e+04,2.837933730766048029e+04,3.697145696323178709e+04,3.091372672713161955e+04,2.717425592658068854e+04,2.176927133787510127e-01,2.184936724413437115e-01,1.796689091826673096e+12,3.035570103934119263e+11,2.183326305026148106e-01,1.797331360657201111e+08,1.041424627351275980e+08,2.728765075842316747e+08,2.720767052006695271e+08,2.730777807089297175e+08,2.716331695276944041e+08,3.549812025459238887e+07
1.944444444444443955e-03,1.168881751928216079e+06,2.142536371080679125e-01,4.207520848661289550e+06,7.824462009999922011e+05,6.596867761636121431e+05,7.426370139360518660e+05,6.202438383446010994e+05,1.789307210871231079e+09,1.514742171283127069e+09,1.700741489859894991e+09,1.426302604874490023e+09,2.239540990793012083e+06,1.868599389420924941e+06,2.117681129707904998e+06,1.750150345646033064e+06,4.607426347054119833e+04,5.032169264768406720e+04,4.405502799368465639e+04,6.870123062264904729e+04,6.143234976836605347e+04,6.709558853057518718e+04,5.874003586608835758e+04,4.732114743267807353e+04,4.099001657850843185e+04,4.561609749177512276e+04,3.879024608370682108e+04,3.722690443294763827e+04,4.028133988053454232e+04,3.577507169385295856e+04,4.439987507488294068e+04,3.832296236239658901e+04,3.456437068687294959e+04,2.142820626323606037e-01,2.143843365768703102e-01,1.796144755541416992e+12,3.024681457019063110e+11,2.142274419470124036e-01,1.796770462019039094e+08,1.029874653218944967e+08,2.718247966088793278e+08,2.718940948968700171e+08,2.720238740017588139e+08,2.718580231508417726e+08,3.413780901268651336e+07
2.222222222222221787e-03,1.381328040738964919e+06,2.106060516387771031e-01,4.891055330459444784e+06,8.962887699138962198e+05,7.736373205272943014e+05,8.565621965621241834e+05,7.342151856558708241e+05,2.060607432173439980e+09,1.786299995361846924e+09,1.972238585834199905e+09,1.697910132602377892e+09,2.532923751766288187e+06,2.162259643547583837e+06,2.411276803304093890e+06,2.043863865365105914e+06,5.492706705541243718e+04,5.917251840829190769e+04,5.290945106901342660e+04,8.049377380840026308e+04,7.323608758837867936e+04,7.889668925163550011e+04,7.054593300665741845e+04,5.468153746913217765e+04,4.835739270922123251e+04,5.298182878212264768e+04,4.615896947237037239e+04,4.460127408142830973e+04,4.765406232507795357e+04,4.315079023514266009e+04,5.177095149526027672e+04,4.569703303820792644e+04,4.194143852756670822e+04,2.105198604476347934e-01,2.103642638411178101e-01,1.795602535530906006e+12,3.013835193006420898e+11,2.102132094248448102e-01,1.796211495432606936e+08,1.018482411968813986e+08,2.707763176801375747e+08,2.711713130320243835e+08,2.709708913550385833e+08,2.712823348231760263e+08,3.283297322015753016e+07
2.500000000000000052e-03,1.590037717029862106e+06,2.068225042187704921e-01,5.564750924794353545e+06,1.008439873189360020e+06,8.859822714769826271e+05,9.687930667711915448e+05,8.466186462906489614e+05,2.330861260681315899e+09,2.057021055466525078e+09,2.242684627412069798e+09,1.968772229672338009e+09,2.814022385355100967e+06,2.443843853316405788e+06,2.692575376480809879e+06,2.325594609827578999e+06,6.372354474338517321e+04,6.796006087795873464e+04,6.171051108973943337e+04,9.220216939196841849e+04,8.496472421439179743e+04,9.061341225353663322e+04,8.228067940952315985e+04,6.198525960721728916e+04,5.567374092843328253e+04,6.029074559294660139e+04,5.347912885541933065e+04,5.193027033028702135e+04,5.497561419317186665e+04,5.048360428496456734e+04,5.908506667359473795e+04,5.302239877918315324e+04,4.927807238656975096e+04,2.066985529662452026e-01,2.064454879620045979e-01,1.795062422386907959e+12,3.003031122869467773e+11,2.063002769401565961e-01,1.795655029767479897e+08,1.007254152174775004e+08,2.697320525217344165e+08,2.702527866637393832e+08,2.699219120160734057e+08,2.704148490879986286e+08,3.158218192498375848e+07
